class,precision,recall,f1,support
dragon_roll,0.8243243243243243,0.8591549295774648,0.8413793103448276,71
underhand_right,0.6666666666666666,0.5679012345679012,0.6133333333333333,81
underhand_left,0.8333333333333334,0.8823529411764706,0.8571428571428571,17
overhand_left,0.6878612716763006,0.8321678321678322,0.7531645569620253,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8181818181818182,0.6,0.6923076923076923,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9473684210526315,0.6923076923076923,0.8,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.7804878048780488,0.8421052631578947,0.810126582278481,38
counter_clockwise,0.92,0.7931034482758621,0.8518518518518519,58
idle,0.7916666666666666,0.8636363636363636,0.8260869565217391,22
