class,precision,recall,f1,support
dragon_roll,0.8311688311688312,0.9014084507042254,0.8648648648648649,71
underhand_right,0.7083333333333334,0.6296296296296297,0.6666666666666666,81
underhand_left,0.85,1.0,0.918918918918919,17
overhand_left,0.7639751552795031,0.8601398601398601,0.8092105263157895,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8333333333333334,0.6666666666666666,0.7407407407407407,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9473684210526315,0.6923076923076923,0.8,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.9166666666666666,0.868421052631579,0.8918918918918919,38
counter_clockwise,0.8928571428571429,0.8620689655172413,0.8771929824561403,58
idle,0.7307692307692307,0.8636363636363636,0.7916666666666666,22
