class,precision,recall,f1,support
dragon_roll,0.8227848101265823,0.9154929577464789,0.8666666666666667,71
underhand_right,0.7183098591549296,0.6296296296296297,0.6710526315789473,81
underhand_left,0.85,1.0,0.918918918918919,17
overhand_left,0.7707006369426752,0.8461538461538461,0.8066666666666666,143
overhand_right,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
sneak_underhand_left,0.8333333333333334,0.6666666666666666,0.7407407407407407,15
sneak_underhand_right,1.0,0.9375,0.967741935483871,16
sneak_overhand_left,0.9473684210526315,0.6923076923076923,0.8,26
sneak_overhand_right,1.0,0.6666666666666666,0.8,6
clockwise,0.8717948717948718,0.8947368421052632,0.8831168831168831,38
counter_clockwise,0.8928571428571429,0.8620689655172413,0.8771929824561403,58
idle,0.7692307692307693,0.9090909090909091,0.8333333333333334,22
